Input arguments:
id               resnet50_c1
arch_encoder     resnet50
arch_decoder     c1
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 8
segm_downsampling_rate 8
random_flip      True
seed             304
ckpt             ./ckpt
disp_iter        20
Model ID: resnet50_c1-resnet50-c1-ngpus2-batchSize4-imgMaxSize1000-paddingConst8-segmDownsampleRate8-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [1][0/500], Time: 3.23, Data: 0.24, lr_encoder: 0.020000, lr_decoder: 0.020000, Accuracy: 64.38, IOU: 0.000000 Loss: 1.430678
Epoch: [1][20/500], Time: 0.62, Data: 0.05, lr_encoder: 0.019966, lr_decoder: 0.019966, Accuracy: 55.40, IOU: 0.001348 Loss: 1.030105
Epoch: [1][40/500], Time: 0.57, Data: 0.05, lr_encoder: 0.019930, lr_decoder: 0.019930, Accuracy: 57.56, IOU: 0.001355 Loss: 0.730579
Epoch: [1][60/500], Time: 0.55, Data: 0.05, lr_encoder: 0.019894, lr_decoder: 0.019894, Accuracy: 59.18, IOU: 0.001040 Loss: 0.673505
Epoch: [1][80/500], Time: 0.54, Data: 0.04, lr_encoder: 0.019858, lr_decoder: 0.019858, Accuracy: 56.44, IOU: 0.000877 Loss: 0.684238
Epoch: [1][100/500], Time: 0.53, Data: 0.04, lr_encoder: 0.019822, lr_decoder: 0.019822, Accuracy: 59.49, IOU: 0.000809 Loss: 0.660867
Epoch: [1][120/500], Time: 0.52, Data: 0.04, lr_encoder: 0.019786, lr_decoder: 0.019786, Accuracy: 58.36, IOU: 0.000803 Loss: 0.614021
Epoch: [1][140/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019750, lr_decoder: 0.019750, Accuracy: 58.92, IOU: 0.000905 Loss: 0.580087
Epoch: [1][160/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019714, lr_decoder: 0.019714, Accuracy: 59.65, IOU: 0.000915 Loss: 0.559033
Epoch: [1][180/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019678, lr_decoder: 0.019678, Accuracy: 60.89, IOU: 0.000973 Loss: 0.533533
Epoch: [1][200/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019641, lr_decoder: 0.019641, Accuracy: 60.37, IOU: 0.000963 Loss: 0.521906
Epoch: [1][220/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019605, lr_decoder: 0.019605, Accuracy: 60.99, IOU: 0.000943 Loss: 0.517598
Epoch: [1][240/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019569, lr_decoder: 0.019569, Accuracy: 58.81, IOU: 0.000934 Loss: 0.541119
Epoch: [1][260/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019533, lr_decoder: 0.019533, Accuracy: 57.69, IOU: 0.000944 Loss: 0.534166
Epoch: [1][280/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019497, lr_decoder: 0.019497, Accuracy: 57.10, IOU: 0.000939 Loss: 0.529980
Epoch: [1][300/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019461, lr_decoder: 0.019461, Accuracy: 56.56, IOU: 0.000948 Loss: 0.524054
Epoch: [1][320/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019425, lr_decoder: 0.019425, Accuracy: 55.96, IOU: 0.000939 Loss: 0.523047
Epoch: [1][340/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019389, lr_decoder: 0.019389, Accuracy: 55.64, IOU: 0.000931 Loss: 0.519460
Epoch: [1][360/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019353, lr_decoder: 0.019353, Accuracy: 55.70, IOU: 0.000953 Loss: 0.509084
Epoch: [1][380/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019316, lr_decoder: 0.019316, Accuracy: 56.05, IOU: 0.000952 Loss: 0.505435
Epoch: [1][400/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019280, lr_decoder: 0.019280, Accuracy: 56.52, IOU: 0.000979 Loss: 0.495838
Epoch: [1][420/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019244, lr_decoder: 0.019244, Accuracy: 57.17, IOU: 0.000992 Loss: 0.486435
Epoch: [1][440/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019208, lr_decoder: 0.019208, Accuracy: 57.73, IOU: 0.000992 Loss: 0.481049
Epoch: [1][460/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019172, lr_decoder: 0.019172, Accuracy: 58.33, IOU: 0.001003 Loss: 0.474610
Epoch: [1][480/500], Time: 0.52, Data: 0.04, lr_encoder: 0.019136, lr_decoder: 0.019136, Accuracy: 58.71, IOU: 0.001013 Loss: 0.467773
Saving checkpoints...
Epoch: [2][0/500], Time: 0.51, Data: 0.00, lr_encoder: 0.019100, lr_decoder: 0.019100, Accuracy: 73.65, IOU: 0.000000 Loss: 0.482981
Epoch: [2][20/500], Time: 0.49, Data: 0.04, lr_encoder: 0.019063, lr_decoder: 0.019063, Accuracy: 65.83, IOU: 0.000781 Loss: 0.550324
Epoch: [2][40/500], Time: 0.51, Data: 0.04, lr_encoder: 0.019027, lr_decoder: 0.019027, Accuracy: 61.15, IOU: 0.000977 Loss: 0.556890
Epoch: [2][60/500], Time: 0.51, Data: 0.04, lr_encoder: 0.018991, lr_decoder: 0.018991, Accuracy: 64.68, IOU: 0.001239 Loss: 0.495858
Epoch: [2][80/500], Time: 0.51, Data: 0.04, lr_encoder: 0.018955, lr_decoder: 0.018955, Accuracy: 66.63, IOU: 0.001372 Loss: 0.442446
Epoch: [2][100/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018918, lr_decoder: 0.018918, Accuracy: 68.30, IOU: 0.001310 Loss: 0.427149
Epoch: [2][120/500], Time: 0.53, Data: 0.04, lr_encoder: 0.018882, lr_decoder: 0.018882, Accuracy: 69.63, IOU: 0.001413 Loss: 0.400483
Epoch: [2][140/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018846, lr_decoder: 0.018846, Accuracy: 70.96, IOU: 0.001428 Loss: 0.421680
Epoch: [2][160/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018810, lr_decoder: 0.018810, Accuracy: 65.41, IOU: 0.001314 Loss: 0.450155
Epoch: [2][180/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018774, lr_decoder: 0.018774, Accuracy: 59.30, IOU: 0.001217 Loss: 0.484136
Epoch: [2][200/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018737, lr_decoder: 0.018737, Accuracy: 54.87, IOU: 0.001136 Loss: 0.529585
Epoch: [2][220/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018701, lr_decoder: 0.018701, Accuracy: 55.67, IOU: 0.001060 Loss: 0.581470
Epoch: [2][240/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018665, lr_decoder: 0.018665, Accuracy: 52.82, IOU: 0.001009 Loss: 0.608275
Epoch: [2][260/500], Time: 0.53, Data: 0.04, lr_encoder: 0.018628, lr_decoder: 0.018628, Accuracy: 49.18, IOU: 0.000969 Loss: 0.609222
Epoch: [2][280/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018592, lr_decoder: 0.018592, Accuracy: 46.35, IOU: 0.000940 Loss: 0.611815
Epoch: [2][300/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018556, lr_decoder: 0.018556, Accuracy: 48.30, IOU: 0.000883 Loss: 0.615490
Epoch: [2][320/500], Time: 0.53, Data: 0.04, lr_encoder: 0.018520, lr_decoder: 0.018520, Accuracy: 47.16, IOU: 0.000853 Loss: 0.617680
Epoch: [2][340/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018483, lr_decoder: 0.018483, Accuracy: 46.68, IOU: 0.000823 Loss: 0.626482
Epoch: [2][360/500], Time: 0.52, Data: 0.04, lr_encoder: 0.018447, lr_decoder: 0.018447, Accuracy: 47.52, IOU: 0.000796 Loss: 0.627588
