Input arguments:
id               resnet50_ppm
arch_encoder     resnet50
arch_decoder     ppm
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 8
segm_downsampling_rate 8
random_flip      True
seed             304
ckpt             ./ckpt
disp_iter        20
Model ID: resnet50_ppm-resnet50-ppm-ngpus2-batchSize4-imgMaxSize1000-paddingConst8-segmDownsampleRate8-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [1][0/500], Time: 4.49, Data: 0.71, lr_encoder: 0.020000, lr_decoder: 0.020000, Accuracy: 42.73, IOU: 0.000395 Loss: 0.977586
Epoch: [1][20/500], Time: 0.78, Data: 0.08, lr_encoder: 0.019966, lr_decoder: 0.019966, Accuracy: 58.60, IOU: 0.000610 Loss: 0.983346
Epoch: [1][40/500], Time: 0.69, Data: 0.06, lr_encoder: 0.019930, lr_decoder: 0.019930, Accuracy: 38.02, IOU: 0.000581 Loss: 0.823373
Epoch: [1][60/500], Time: 0.66, Data: 0.06, lr_encoder: 0.019894, lr_decoder: 0.019894, Accuracy: 33.73, IOU: 0.000539 Loss: 1.153975
Epoch: [1][80/500], Time: 0.66, Data: 0.05, lr_encoder: 0.019858, lr_decoder: 0.019858, Accuracy: 38.00, IOU: 0.000611 Loss: 1.018996
Epoch: [1][100/500], Time: 0.65, Data: 0.05, lr_encoder: 0.019822, lr_decoder: 0.019822, Accuracy: 41.26, IOU: 0.000556 Loss: 0.992492
Epoch: [1][120/500], Time: 0.65, Data: 0.05, lr_encoder: 0.019786, lr_decoder: 0.019786, Accuracy: 36.84, IOU: 0.000579 Loss: 0.916488
Epoch: [1][140/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019750, lr_decoder: 0.019750, Accuracy: 35.70, IOU: 0.000569 Loss: 0.876722
Epoch: [1][160/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019714, lr_decoder: 0.019714, Accuracy: 33.90, IOU: 0.000575 Loss: 0.832090
Epoch: [1][180/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019678, lr_decoder: 0.019678, Accuracy: 35.72, IOU: 0.000592 Loss: 0.806360
Epoch: [1][200/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019641, lr_decoder: 0.019641, Accuracy: 37.07, IOU: 0.000618 Loss: 0.764666
Epoch: [1][220/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019605, lr_decoder: 0.019605, Accuracy: 38.77, IOU: 0.000630 Loss: 0.757975
Epoch: [1][240/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019569, lr_decoder: 0.019569, Accuracy: 37.74, IOU: 0.000613 Loss: 0.743783
Epoch: [1][260/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019533, lr_decoder: 0.019533, Accuracy: 40.49, IOU: 0.000664 Loss: 0.732691
Epoch: [1][280/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019497, lr_decoder: 0.019497, Accuracy: 42.76, IOU: 0.000728 Loss: 0.708126
Epoch: [1][300/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019461, lr_decoder: 0.019461, Accuracy: 44.48, IOU: 0.000792 Loss: 0.688481
Epoch: [1][320/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019425, lr_decoder: 0.019425, Accuracy: 46.57, IOU: 0.000861 Loss: 0.667930
Epoch: [1][340/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019389, lr_decoder: 0.019389, Accuracy: 48.13, IOU: 0.000900 Loss: 0.646125
Epoch: [1][360/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019353, lr_decoder: 0.019353, Accuracy: 49.55, IOU: 0.000959 Loss: 0.629408
Epoch: [1][380/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019316, lr_decoder: 0.019316, Accuracy: 50.44, IOU: 0.000973 Loss: 0.615710
Epoch: [1][400/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019280, lr_decoder: 0.019280, Accuracy: 51.71, IOU: 0.001014 Loss: 0.600011
Epoch: [1][420/500], Time: 0.64, Data: 0.05, lr_encoder: 0.019244, lr_decoder: 0.019244, Accuracy: 52.94, IOU: 0.001049 Loss: 0.583358
