Input arguments:
id               resnet50_upernet
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             ./ckpt
disp_iter        20
Model ID: resnet50_upernet-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [1][0/500], Time: 3.92, Data: 0.08, lr_encoder: 0.020000, lr_decoder: 0.020000, Accuracy: 38.21, IOU: 0.000000 Loss: 1.066053
Epoch: [1][20/500], Time: 1.18, Data: 0.04, lr_encoder: 0.019966, lr_decoder: 0.019966, Accuracy: 59.00, IOU: 0.000586 Loss: 2.115547
Epoch: [1][40/500], Time: 1.12, Data: 0.04, lr_encoder: 0.019930, lr_decoder: 0.019930, Accuracy: 62.74, IOU: 0.000729 Loss: 1.389269
Epoch: [1][60/500], Time: 1.13, Data: 0.04, lr_encoder: 0.019894, lr_decoder: 0.019894, Accuracy: 64.77, IOU: 0.000947 Loss: 1.064843
Epoch: [1][80/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019858, lr_decoder: 0.019858, Accuracy: 65.52, IOU: 0.001112 Loss: 0.909794
Epoch: [1][100/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019822, lr_decoder: 0.019822, Accuracy: 63.02, IOU: 0.001024 Loss: 0.823611
Epoch: [1][120/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019786, lr_decoder: 0.019786, Accuracy: 62.22, IOU: 0.001072 Loss: 0.735976
Epoch: [1][140/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019750, lr_decoder: 0.019750, Accuracy: 62.54, IOU: 0.001080 Loss: 0.672657
Epoch: [1][160/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019714, lr_decoder: 0.019714, Accuracy: 63.79, IOU: 0.001061 Loss: 0.642135
Epoch: [1][180/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019678, lr_decoder: 0.019678, Accuracy: 64.47, IOU: 0.001086 Loss: 0.610694
Epoch: [1][200/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019641, lr_decoder: 0.019641, Accuracy: 64.99, IOU: 0.001124 Loss: 0.584140
Epoch: [1][220/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019605, lr_decoder: 0.019605, Accuracy: 66.03, IOU: 0.001133 Loss: 0.566260
Epoch: [1][240/500], Time: 1.08, Data: 0.04, lr_encoder: 0.019569, lr_decoder: 0.019569, Accuracy: 66.73, IOU: 0.001206 Loss: 0.546345
Epoch: [1][260/500], Time: 1.08, Data: 0.04, lr_encoder: 0.019533, lr_decoder: 0.019533, Accuracy: 67.22, IOU: 0.001204 Loss: 0.522876
Epoch: [1][280/500], Time: 1.08, Data: 0.04, lr_encoder: 0.019497, lr_decoder: 0.019497, Accuracy: 68.24, IOU: 0.001258 Loss: 0.502106
Epoch: [1][300/500], Time: 1.08, Data: 0.04, lr_encoder: 0.019461, lr_decoder: 0.019461, Accuracy: 69.08, IOU: 0.001255 Loss: 0.489928
