Input arguments:
id               resnet50_upernet_0.2
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_40x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.2
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/learning_rate/
disp_iter        20
Model ID: resnet50_upernet_0.2-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.2-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [1][0/500], Time: 3.82, Data: 0.25, lr_encoder: 0.020000, lr_decoder: 0.200000, Accuracy: 38.21, IOU: 0.000000 Loss: 1.066053
Epoch: [1][20/500], Time: 1.19, Data: 0.05, lr_encoder: 0.019966, lr_decoder: 0.199658, Accuracy: 97.02, IOU: 0.000000 Loss: 0.177757
Epoch: [1][40/500], Time: 1.15, Data: 0.05, lr_encoder: 0.019930, lr_decoder: 0.199298, Accuracy: 98.46, IOU: 0.000000 Loss: 0.105478
Epoch: [1][60/500], Time: 1.15, Data: 0.05, lr_encoder: 0.019894, lr_decoder: 0.198938, Accuracy: 98.95, IOU: 0.000000 Loss: 0.079175
Epoch: [1][80/500], Time: 1.13, Data: 0.04, lr_encoder: 0.019858, lr_decoder: 0.198577, Accuracy: 99.20, IOU: 0.000000 Loss: 0.067736
Epoch: [1][100/500], Time: 1.13, Data: 0.04, lr_encoder: 0.019822, lr_decoder: 0.198217, Accuracy: 99.35, IOU: 0.000000 Loss: 0.060037
Epoch: [1][120/500], Time: 1.14, Data: 0.04, lr_encoder: 0.019786, lr_decoder: 0.197857, Accuracy: 99.45, IOU: 0.000000 Loss: 0.055517
Epoch: [1][140/500], Time: 1.12, Data: 0.04, lr_encoder: 0.019750, lr_decoder: 0.197496, Accuracy: 99.52, IOU: 0.000000 Loss: 0.050765
Epoch: [1][160/500], Time: 1.12, Data: 0.04, lr_encoder: 0.019714, lr_decoder: 0.197136, Accuracy: 99.58, IOU: 0.000000 Loss: 0.047389
Epoch: [1][180/500], Time: 1.12, Data: 0.04, lr_encoder: 0.019678, lr_decoder: 0.196775, Accuracy: 99.62, IOU: 0.000000 Loss: 0.044234
Epoch: [1][200/500], Time: 1.12, Data: 0.04, lr_encoder: 0.019641, lr_decoder: 0.196414, Accuracy: 99.65, IOU: 0.000000 Loss: 0.041757
Epoch: [1][220/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019605, lr_decoder: 0.196054, Accuracy: 99.68, IOU: 0.000000 Loss: 0.039506
Epoch: [1][240/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019569, lr_decoder: 0.195693, Accuracy: 99.70, IOU: 0.000000 Loss: 0.037585
Epoch: [1][260/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019533, lr_decoder: 0.195332, Accuracy: 99.72, IOU: 0.000000 Loss: 0.036227
Epoch: [1][280/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019497, lr_decoder: 0.194971, Accuracy: 99.74, IOU: 0.000000 Loss: 0.034679
Epoch: [1][300/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019461, lr_decoder: 0.194610, Accuracy: 99.76, IOU: 0.000000 Loss: 0.033490
Epoch: [1][320/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019425, lr_decoder: 0.194249, Accuracy: 99.77, IOU: 0.000000 Loss: 0.032415
Epoch: [1][340/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019389, lr_decoder: 0.193888, Accuracy: 99.78, IOU: 0.000000 Loss: 0.031210
Epoch: [1][360/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019353, lr_decoder: 0.193526, Accuracy: 99.79, IOU: 0.000000 Loss: 0.030203
Epoch: [1][380/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019316, lr_decoder: 0.193165, Accuracy: 99.80, IOU: 0.000000 Loss: 0.029287
Epoch: [1][400/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019280, lr_decoder: 0.192803, Accuracy: 99.81, IOU: 0.000000 Loss: 0.028393
Epoch: [1][420/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019244, lr_decoder: 0.192442, Accuracy: 99.81, IOU: 0.005169 Loss: 0.027541
Epoch: [1][440/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019208, lr_decoder: 0.192080, Accuracy: 99.81, IOU: 0.010170 Loss: 0.026768
Epoch: [1][460/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019172, lr_decoder: 0.191719, Accuracy: 99.81, IOU: 0.014428 Loss: 0.026115
Epoch: [1][480/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019136, lr_decoder: 0.191357, Accuracy: 99.82, IOU: 0.020268 Loss: 0.025450
Saving checkpoints...
Epoch: [2][0/500], Time: 1.36, Data: 0.00, lr_encoder: 0.019100, lr_decoder: 0.190995, Accuracy: 99.83, IOU: 0.236771 Loss: 0.008640
Epoch: [2][20/500], Time: 1.16, Data: 0.04, lr_encoder: 0.019063, lr_decoder: 0.190633, Accuracy: 99.80, IOU: 0.148161 Loss: 0.008739
Epoch: [2][40/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019027, lr_decoder: 0.190271, Accuracy: 99.81, IOU: 0.146396 Loss: 0.009190
Epoch: [2][60/500], Time: 1.11, Data: 0.04, lr_encoder: 0.018991, lr_decoder: 0.189909, Accuracy: 99.83, IOU: 0.131732 Loss: 0.008685
Epoch: [2][80/500], Time: 1.13, Data: 0.04, lr_encoder: 0.018955, lr_decoder: 0.189547, Accuracy: 99.83, IOU: 0.134688 Loss: 0.008615
Epoch: [2][100/500], Time: 1.13, Data: 0.04, lr_encoder: 0.018918, lr_decoder: 0.189185, Accuracy: 99.81, IOU: 0.135981 Loss: 0.009845
