Input arguments:
id               resnet50_upernet
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /home/ky_aneur/cs230/code/resnet/semantic-segmentation-pytorch/training_outputs/loss_weights/ckpt/
disp_iter        20
Model ID: resnet50_upernet-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [1][0/500], Time: 3.68, Data: 0.18, lr_encoder: 0.020000, lr_decoder: 0.020000, Accuracy: 38.21, IOU: 0.000000 Loss: 1.066053
Epoch: [1][20/500], Time: 1.14, Data: 0.05, lr_encoder: 0.019966, lr_decoder: 0.019966, Accuracy: 82.09, IOU: 0.000546 Loss: 1.012964
Epoch: [1][40/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019930, lr_decoder: 0.019930, Accuracy: 83.07, IOU: 0.000746 Loss: 0.683113
Epoch: [1][60/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019894, lr_decoder: 0.019894, Accuracy: 85.08, IOU: 0.001934 Loss: 0.547869
Epoch: [1][80/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019858, lr_decoder: 0.019858, Accuracy: 84.24, IOU: 0.002072 Loss: 0.517688
Epoch: [1][100/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019822, lr_decoder: 0.019822, Accuracy: 83.52, IOU: 0.002089 Loss: 0.483299
Epoch: [1][120/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019786, lr_decoder: 0.019786, Accuracy: 83.80, IOU: 0.002288 Loss: 0.447190
Epoch: [1][140/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019750, lr_decoder: 0.019750, Accuracy: 84.78, IOU: 0.002429 Loss: 0.411837
Epoch: [1][160/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019714, lr_decoder: 0.019714, Accuracy: 85.53, IOU: 0.002543 Loss: 0.395699
Epoch: [1][180/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019678, lr_decoder: 0.019678, Accuracy: 85.52, IOU: 0.002692 Loss: 0.382872
Epoch: [1][200/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019641, lr_decoder: 0.019641, Accuracy: 86.22, IOU: 0.002923 Loss: 0.363094
