Input arguments:
id               resnet50_upernet_train
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_40x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/loss_weights/
disp_iter        20
Model ID: resnet50_upernet_train-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [1][0/500], Time: 3.75, Data: 0.17, lr_encoder: 0.020000, lr_decoder: 0.020000, Accuracy: 38.21, IOU: 0.000000 Loss: 1.066053
Epoch: [1][20/500], Time: 1.19, Data: 0.05, lr_encoder: 0.019966, lr_decoder: 0.019966, Accuracy: 74.02, IOU: 0.001091 Loss: 1.036517
Epoch: [1][40/500], Time: 1.14, Data: 0.05, lr_encoder: 0.019930, lr_decoder: 0.019930, Accuracy: 80.24, IOU: 0.001966 Loss: 0.699082
Epoch: [1][60/500], Time: 1.15, Data: 0.04, lr_encoder: 0.019894, lr_decoder: 0.019894, Accuracy: 82.25, IOU: 0.002091 Loss: 0.593108
Epoch: [1][80/500], Time: 1.14, Data: 0.04, lr_encoder: 0.019858, lr_decoder: 0.019858, Accuracy: 83.00, IOU: 0.002707 Loss: 0.573360
Epoch: [1][100/500], Time: 1.13, Data: 0.04, lr_encoder: 0.019822, lr_decoder: 0.019822, Accuracy: 82.11, IOU: 0.002561 Loss: 0.540667
Epoch: [1][120/500], Time: 1.14, Data: 0.04, lr_encoder: 0.019786, lr_decoder: 0.019786, Accuracy: 82.88, IOU: 0.002997 Loss: 0.491794
Epoch: [1][140/500], Time: 1.12, Data: 0.04, lr_encoder: 0.019750, lr_decoder: 0.019750, Accuracy: 83.91, IOU: 0.003574 Loss: 0.455129
Epoch: [1][160/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019714, lr_decoder: 0.019714, Accuracy: 84.97, IOU: 0.003512 Loss: 0.425003
Epoch: [1][180/500], Time: 1.12, Data: 0.04, lr_encoder: 0.019678, lr_decoder: 0.019678, Accuracy: 85.59, IOU: 0.003522 Loss: 0.402968
Epoch: [1][200/500], Time: 1.12, Data: 0.04, lr_encoder: 0.019641, lr_decoder: 0.019641, Accuracy: 86.42, IOU: 0.003832 Loss: 0.379112
Epoch: [1][220/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019605, lr_decoder: 0.019605, Accuracy: 86.71, IOU: 0.003964 Loss: 0.366761
Epoch: [1][240/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019569, lr_decoder: 0.019569, Accuracy: 86.85, IOU: 0.003919 Loss: 0.359760
Epoch: [1][260/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019533, lr_decoder: 0.019533, Accuracy: 87.20, IOU: 0.003993 Loss: 0.344692
Epoch: [1][280/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019497, lr_decoder: 0.019497, Accuracy: 87.80, IOU: 0.004054 Loss: 0.328939
Epoch: [1][300/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019461, lr_decoder: 0.019461, Accuracy: 87.93, IOU: 0.004124 Loss: 0.324526
Epoch: [1][320/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019425, lr_decoder: 0.019425, Accuracy: 88.22, IOU: 0.004243 Loss: 0.314688
Epoch: [1][340/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019389, lr_decoder: 0.019389, Accuracy: 88.67, IOU: 0.004425 Loss: 0.306184
Epoch: [1][360/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019353, lr_decoder: 0.019353, Accuracy: 88.71, IOU: 0.004412 Loss: 0.300436
Epoch: [1][380/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019316, lr_decoder: 0.019316, Accuracy: 88.85, IOU: 0.004470 Loss: 0.293137
Epoch: [1][400/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019280, lr_decoder: 0.019280, Accuracy: 89.16, IOU: 0.004656 Loss: 0.285644
Epoch: [1][420/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019244, lr_decoder: 0.019244, Accuracy: 89.52, IOU: 0.005115 Loss: 0.276609
Epoch: [1][440/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019208, lr_decoder: 0.019208, Accuracy: 89.68, IOU: 0.005681 Loss: 0.271329
