Input arguments:
id               resnet50_upernet_train2
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_40x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/loss_weights/
disp_iter        20
Model ID: resnet50_upernet_train2-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [1][0/500], Time: 3.58, Data: 0.24, lr_encoder: 0.020000, lr_decoder: 0.020000, Accuracy: 38.21, IOU: 0.000000 Loss: 1.066054
Epoch: [1][20/500], Time: 1.16, Data: 0.05, lr_encoder: 0.019966, lr_decoder: 0.019966, Accuracy: 94.25, IOU: 0.011311 Loss: 0.247546
Epoch: [1][40/500], Time: 1.13, Data: 0.05, lr_encoder: 0.019930, lr_decoder: 0.019930, Accuracy: 96.68, IOU: 0.026646 Loss: 0.162822
Epoch: [1][60/500], Time: 1.15, Data: 0.05, lr_encoder: 0.019894, lr_decoder: 0.019894, Accuracy: 97.55, IOU: 0.032717 Loss: 0.119604
Epoch: [1][80/500], Time: 1.13, Data: 0.04, lr_encoder: 0.019858, lr_decoder: 0.019858, Accuracy: 97.88, IOU: 0.040796 Loss: 0.102180
Epoch: [1][100/500], Time: 1.13, Data: 0.04, lr_encoder: 0.019822, lr_decoder: 0.019822, Accuracy: 97.88, IOU: 0.036570 Loss: 0.102050
Epoch: [1][120/500], Time: 1.14, Data: 0.04, lr_encoder: 0.019786, lr_decoder: 0.019786, Accuracy: 97.99, IOU: 0.039356 Loss: 0.097618
Epoch: [1][140/500], Time: 1.13, Data: 0.04, lr_encoder: 0.019750, lr_decoder: 0.019750, Accuracy: 98.17, IOU: 0.042599 Loss: 0.088838
Epoch: [1][160/500], Time: 1.12, Data: 0.04, lr_encoder: 0.019714, lr_decoder: 0.019714, Accuracy: 98.28, IOU: 0.044392 Loss: 0.083050
Epoch: [1][180/500], Time: 1.12, Data: 0.04, lr_encoder: 0.019678, lr_decoder: 0.019678, Accuracy: 98.36, IOU: 0.045295 Loss: 0.079225
Epoch: [1][200/500], Time: 1.13, Data: 0.04, lr_encoder: 0.019641, lr_decoder: 0.019641, Accuracy: 98.44, IOU: 0.044667 Loss: 0.074669
Epoch: [1][220/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019605, lr_decoder: 0.019605, Accuracy: 98.54, IOU: 0.046159 Loss: 0.070380
Epoch: [1][240/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019569, lr_decoder: 0.019569, Accuracy: 98.60, IOU: 0.046732 Loss: 0.067260
Epoch: [1][260/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019533, lr_decoder: 0.019533, Accuracy: 98.64, IOU: 0.047340 Loss: 0.064789
Epoch: [1][280/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019497, lr_decoder: 0.019497, Accuracy: 98.70, IOU: 0.047760 Loss: 0.062176
Epoch: [1][300/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019461, lr_decoder: 0.019461, Accuracy: 98.74, IOU: 0.048765 Loss: 0.059776
