Input arguments:
id               resnet50_upernet_train
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_100x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/upsampling/
disp_iter        20
Model ID: resnet50_upernet_train-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 60560
1 Epoch = 500 iters
Epoch: [1][0/500], Time: 3.90, Data: 0.27, lr_encoder: 0.020000, lr_decoder: 0.020000, Accuracy: 40.29, IOU: 0.000074 Loss: 1.002965
Epoch: [1][20/500], Time: 1.21, Data: 0.05, lr_encoder: 0.019966, lr_decoder: 0.019966, Accuracy: 71.18, IOU: 0.001823 Loss: 0.944099
Epoch: [1][40/500], Time: 1.16, Data: 0.05, lr_encoder: 0.019930, lr_decoder: 0.019930, Accuracy: 74.30, IOU: 0.003220 Loss: 0.699842
Epoch: [1][60/500], Time: 1.16, Data: 0.05, lr_encoder: 0.019894, lr_decoder: 0.019894, Accuracy: 75.27, IOU: 0.003036 Loss: 0.601873
Epoch: [1][80/500], Time: 1.12, Data: 0.05, lr_encoder: 0.019858, lr_decoder: 0.019858, Accuracy: 76.66, IOU: 0.003430 Loss: 0.528074
Epoch: [1][100/500], Time: 1.11, Data: 0.04, lr_encoder: 0.019822, lr_decoder: 0.019822, Accuracy: 78.76, IOU: 0.004040 Loss: 0.471432
Epoch: [1][120/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019786, lr_decoder: 0.019786, Accuracy: 79.52, IOU: 0.005151 Loss: 0.453232
Epoch: [1][140/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019750, lr_decoder: 0.019750, Accuracy: 80.63, IOU: 0.006103 Loss: 0.428507
Epoch: [1][160/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019714, lr_decoder: 0.019714, Accuracy: 81.14, IOU: 0.005841 Loss: 0.414060
Epoch: [1][180/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019678, lr_decoder: 0.019678, Accuracy: 82.18, IOU: 0.006329 Loss: 0.387317
Epoch: [1][200/500], Time: 1.10, Data: 0.04, lr_encoder: 0.019641, lr_decoder: 0.019641, Accuracy: 82.99, IOU: 0.006532 Loss: 0.385414
Epoch: [1][220/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019605, lr_decoder: 0.019605, Accuracy: 83.73, IOU: 0.006634 Loss: 0.370471
Epoch: [1][240/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019569, lr_decoder: 0.019569, Accuracy: 84.24, IOU: 0.007517 Loss: 0.366526
Epoch: [1][260/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019533, lr_decoder: 0.019533, Accuracy: 84.39, IOU: 0.007301 Loss: 0.355206
Epoch: [1][280/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019497, lr_decoder: 0.019497, Accuracy: 84.88, IOU: 0.007433 Loss: 0.344074
Epoch: [1][300/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019461, lr_decoder: 0.019461, Accuracy: 85.41, IOU: 0.007708 Loss: 0.331290
Epoch: [1][320/500], Time: 1.08, Data: 0.04, lr_encoder: 0.019425, lr_decoder: 0.019425, Accuracy: 85.90, IOU: 0.008121 Loss: 0.318180
Epoch: [1][340/500], Time: 1.08, Data: 0.04, lr_encoder: 0.019389, lr_decoder: 0.019389, Accuracy: 86.41, IOU: 0.009182 Loss: 0.306465
Epoch: [1][360/500], Time: 1.08, Data: 0.04, lr_encoder: 0.019353, lr_decoder: 0.019353, Accuracy: 86.88, IOU: 0.009235 Loss: 0.296457
Epoch: [1][380/500], Time: 1.08, Data: 0.04, lr_encoder: 0.019316, lr_decoder: 0.019316, Accuracy: 87.08, IOU: 0.009195 Loss: 0.296592
Epoch: [1][400/500], Time: 1.08, Data: 0.04, lr_encoder: 0.019280, lr_decoder: 0.019280, Accuracy: 87.38, IOU: 0.009143 Loss: 0.289307
Epoch: [1][420/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019244, lr_decoder: 0.019244, Accuracy: 87.80, IOU: 0.009871 Loss: 0.279743
Epoch: [1][440/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019208, lr_decoder: 0.019208, Accuracy: 88.15, IOU: 0.010273 Loss: 0.271535
Epoch: [1][460/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019172, lr_decoder: 0.019172, Accuracy: 88.36, IOU: 0.010271 Loss: 0.268031
Epoch: [1][480/500], Time: 1.09, Data: 0.04, lr_encoder: 0.019136, lr_decoder: 0.019136, Accuracy: 88.63, IOU: 0.010569 Loss: 0.261339
Saving checkpoints...
Epoch: [2][0/500], Time: 1.27, Data: 0.00, lr_encoder: 0.019100, lr_decoder: 0.019100, Accuracy: 94.89, IOU: 0.014412 Loss: 0.142948
Epoch: [2][20/500], Time: 1.01, Data: 0.04, lr_encoder: 0.019063, lr_decoder: 0.019063, Accuracy: 94.77, IOU: 0.013763 Loss: 0.133405
Epoch: [2][40/500], Time: 1.12, Data: 0.04, lr_encoder: 0.019027, lr_decoder: 0.019027, Accuracy: 95.15, IOU: 0.023225 Loss: 0.112551
Epoch: [2][60/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018991, lr_decoder: 0.018991, Accuracy: 95.75, IOU: 0.025184 Loss: 0.098914
Epoch: [2][80/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018955, lr_decoder: 0.018955, Accuracy: 96.23, IOU: 0.029266 Loss: 0.092233
Epoch: [2][100/500], Time: 1.12, Data: 0.04, lr_encoder: 0.018918, lr_decoder: 0.018918, Accuracy: 96.17, IOU: 0.027372 Loss: 0.091497
Epoch: [2][120/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018882, lr_decoder: 0.018882, Accuracy: 95.59, IOU: 0.025002 Loss: 0.105925
Epoch: [2][140/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018846, lr_decoder: 0.018846, Accuracy: 95.41, IOU: 0.023202 Loss: 0.107973
Epoch: [2][160/500], Time: 1.09, Data: 0.04, lr_encoder: 0.018810, lr_decoder: 0.018810, Accuracy: 95.47, IOU: 0.022238 Loss: 0.105714
Epoch: [2][180/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018774, lr_decoder: 0.018774, Accuracy: 95.48, IOU: 0.021987 Loss: 0.105453
Epoch: [2][200/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018737, lr_decoder: 0.018737, Accuracy: 95.65, IOU: 0.022450 Loss: 0.102806
Epoch: [2][220/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018701, lr_decoder: 0.018701, Accuracy: 95.64, IOU: 0.022160 Loss: 0.104160
Epoch: [2][240/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018665, lr_decoder: 0.018665, Accuracy: 95.59, IOU: 0.021199 Loss: 0.106343
Epoch: [2][260/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018628, lr_decoder: 0.018628, Accuracy: 95.69, IOU: 0.021777 Loss: 0.104653
Epoch: [2][280/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018592, lr_decoder: 0.018592, Accuracy: 95.69, IOU: 0.021810 Loss: 0.104902
Epoch: [2][300/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018556, lr_decoder: 0.018556, Accuracy: 95.67, IOU: 0.021268 Loss: 0.104532
Epoch: [2][320/500], Time: 1.10, Data: 0.04, lr_encoder: 0.018520, lr_decoder: 0.018520, Accuracy: 95.65, IOU: 0.020577 Loss: 0.103870
